title,detail
육아휴직 날짜 참견해주세요!!!ㅠㅠㅠ,"저는 육휴 1년6개월 쓸 예정이고 출산예정일은 2025.10.5일이예요!
산전육휴 쓰고 출산휴가쓰고 이어서 육휴 쓸예정인데 아래 날짜가 맞을까요??ㅠㅠㅠ
-2025년 5 월1일 ~ 2025년 8월 28일 까지 육아휴직 기간 (4개월)
-2025년 8월 29일 ~ 2025년 11월 26일 까지 출산휴가 기간 (90일)
-2025년 11월27일 ~ 2026년 7월24일까지 육아휴직 (8개월)
-2026년 7월25일 ~ 2027년 1월20일까지 육아휴직(6개월 연장)"
육아휴직 관련 도와주세요..!ㅠㅠ,"근로자+공무원 조합이다보니 어디에 물어봐도 시원한 답변을 얻기가 조금 어렵네요 ㅠㅠ
경험자분들 혹은 잘 아시는 분들의 도움을 요청드립니다..!
남편 - 근로자 (6.24.~ 육아휴직 시작, 6개월 예정)
아내 - 공무원 (8.11.~ 육아휴직 시작, 6개월 예정)
- 남편 먼저 일반 육아휴직으로 신청 후 아내 육휴 시작하면 6+6 신청하여 차액 수령
- 아내 육아휴직 신청 시 남편 육휴 증명서류 제출하여 아빠의 달(순차육아휴직자) 대상자로 신청
- 위와 같이 신청할 시 근로자는 6+6 제도 해당자, 공무원은 아빠의달수당(순차육아휴직자) 대상자 가능
-근로자인 남편은 육휴시작과 동시에 건강보험공단에 건강보험 감면신청
제가 이해한 게 맞을까요...?
그리고 이 외에도 신청해야 할 것 들이 있다면 마구 알려주시면 감사하겠습니다!! ^^
그리고 공무원도 육아휴직 시 건강보험 감면이 되나요..??
도와주셔서 감사합니다~"
"육아휴직, 출산휴가 관련 날짜 계산 이렇게 맞을까요....?!","안녕하세요 내일부터 육아휴직 예정인데
이렇게 날짜 계산하면 오차가 없는거겠죠...?!
+ 제가 작년 6월 초에 입사했는데
이렇게 휴직 진행하게 되면 다시 복직 못하더라도
출산 휴가가 근무 기간에 포함되서
퇴직금 받을 수 있겠죠....?!
2025.03.13~2025.05.12 육아휴직 2개월
2025.05.13~2025.08.13 출산휴가 90일 (5/15 또는 5/20 제왕절개 출산 예정)
2025.08.14~2026.06.13 육아휴직 10개월
선배맘님들의 조언이 필요합니다ㅠㅠ💗"
출산휴가 이후 연차소진 불가,"이제 슬슬 휴가계획을 짜고있는데요!
저희회사는 출산휴가 이후는 바로 육휴여야 하고
출산휴가-연차-육휴는 안된다고 하네요ㅠ
원래 그런건가요 ?!"
산전후급여와 육아휴직급여..,"아무리 인터넷을 찾아봐도 이해가 안되는 내용들 투성이라 ㅜㅜ
혹시 계산하실 수 있는 분 계신지 문의 드립니다.
기본급 : 2,888,300원
시간외수당 : 460,100원
통상임금(?) : 3,348,400원
산전휴가 : 7/1 ~ 7/6 (출산일 포함 7일)
출산일 : 7/7
산후휴가 : 7/8 ~ 9/28 (출산일 제외 83일)
육아휴직 : 9/29 ~ 9/28 (육아휴직 1년)"
출산휴가+육아휴직 문의드립니다~!,"내용
날짜
카운팅
잔여연차
2025.8.11~2025.8.25
10일
출산휴가
2025.8.26~2025.11.23
90일
육아휴직
2025.11.24~2026.11.23
12개월
예정일은 9월 6일인데 잔여연차 먼저 소진하고 바로 출산휴가+육휴들어가는걸로 계산해봤는데
이렇게 하면 맞을까 싶어서 문의드립니다!"
출산휴가 육아휴직 계산 맞는지 봐주세요 ㅠㅠ!,"5월 중순 출산예정일입니다~
25.05.01 - 25.07.29_ 90일 출산휴가
25.07.30 - 26.07.24_ 12개월 육아휴직
날짜 계산이 맞을까요?"
사후지급금 문의,"첫째 육아휴직 후 복직하고 4개월 됐을때
둘째 출산전 육아휴직 들어가면 사후지급금
지급 받을 수 있을까요?"
프리랜서/중소기업은 어쩌라는 건지..,"저는 프리 남편은 일용겸 중소 소속
육아휴직 전혀 상관없는 케이스
막막합니다ㅠㅠ
조금은 서러워요"
보통 출산휴가는 언제부터 쓰시나요?,"이제 곧 출산휴가와 육아휴직을 내야하는데…
언제부터 쓰는게 좋을지 너무 고민이네요ㅠㅠ
6월 말 출산이라
연차랑 출산휴가를 당겨서 5월초부터 들어갈지,
아니면 딱 한달전부터 그냥 쉴지 고민인데
다른 분들은 어떻게 하셨는지 궁금합니다..!"
육아휴직 사대보험 피보험자기간 확인이요 ㅠㅠ,"육아휴직 하려고하는데 24년도 10월 25일 날짜로 사대보험 가입했습니다
피보험자 기간 180일 되야 육아휴직 받을수있다고하는데
언제까지 근무해야할까요~?
피보험자 기간 계산법이 다르더라구요 ...ㅜㅜ 아시는분 부탁드려요 ㅜㅜ"
임신하고 집콕중인데 너무 심심해요,"작년에 중기유산한번하고, 올해 임신 성공해서 바로 육아휴직 신청하고 집에서 쉬는중입니다! 위험물질도 다루고 몸쓰는 일이라 이번엔 안전하게 지키고싶어서 선택했는데 집에만 있으니 너무 답답해요.. 입덧때문에 계속 고생하느라 시간가는줄 모르고 지내다가 10주 지나가면서 몸이 좀 나아지니 지루하네요 너무 ㅠㅠ 결혼하면서 멀리 온거라 동네친구도 없구 남편은 제 몫까지 돈버느라 늦게퇴근하구요.. 남편은 아기 키우는게 일이라고 이럴때 푹 쉬라고하는데 저도 맘편히 쉬는게 좋으면서도 너무 심심해요 ㅋㅋㅋ 며칠 집앞 산책겸 나갔다가 걸은지 20분쯤되니 어지러워서 더 못걷겠더라구요 아직 입덧컨디션이 남아있는거같긴해서 어디 돌아다니기도 애매합니다.. 9월 출산예정인데 그동안 뭘 하면서 보내야 좋을까요??"
